28,Módem de Cable,ARRIS,97.54916,['Velocidad de descarga de hasta 686 Mbps', 'Compatible con la mayoría de los proveedores de servicios de Internet', 'Conexión Gigabit Ethernet'],6 
36,Monitor Gaming ASUS TUF,ASUS,303.50916,['Resolución Full HD', 'Tamaño de 24.5 pulgadas', 'Frecuencia de actualización de 144Hz'],5 
49,Router ASUS RT-AC88U,ASUS,303.50916,['Velocidad de hasta 3100Mbps', 'Procesador dual-core de 1.4GHz', 'Tecnología MU-MIMO'],4 
20,Altavoz Inteligente Amazon Echo Dot,Amazon,54.18916000000001,['Asistente de voz Alexa integrado', 'Conexión Wi-Fi y Bluetooth', 'Compatible con otros dispositivos inteligentes'],5 
50,Altavoz Inteligente Amazon Echo Dot,Amazon,54.18916000000001,['Asistente de voz Alexa integrado', 'Conexión Wi-Fi y Bluetooth', 'Control de dispositivos inteligentes'],1 
27,Cargador Portátil Anker PowerCore,Anker,65.02916,['Capacidad de 10000mAh', '2 puertos USB', 'Tecnología PowerIQ para carga rápida'],3 
22,Adaptador USB-C a HDMI,Anker,21.66916,['Resolución de hasta 4K a 60Hz', 'Compatible con MacBook'],4 
19,Tablet Apple iPad Air,Apple,650.3891600000001,['Pantalla Liquid Retina de 10.9 pulgadas', 'Chip A14 Bionic', 'Compatible con Apple Pencil y Magic Keyboard'],1 
17,Smartwatch Apple Watch Series 6,Apple,433.58916000000005,['Monitorización del ritmo cardíaco', 'GPS integrado', 'Resistente al agua'],6 
26,Auriculares Inalámbricos,Apple,173.42916000000002,['Conexión inalámbrica Bluetooth', 'Micrófono y controles integrados', 'Autonomía de hasta 5 horas'],8 
40,Teclado Mecánico Corsair K95 RGB Platinum XT,Corsair,216.78916000000004,['Interruptores Cherry MX Speed', 'Retroiluminación RGB por tecla', 'Descanso de muñeca desmontable'],4 
34,Memoria RAM Corsair Vengeance LPX,Corsair,119.22916000000001,['16GB de capacidad', 'Velocidad de 3200MHz', 'Diseño de perfil bajo'],8 
4,Memoria RAM,Corsair,97.54916,['16GB', 'DDR4', 'Velocidad de 3200MHz'],6 
6,Monitor LED,Dell,216.78916000000004,['21.5 pulgadas', 'Resolución Full HD', 'Puertos HDMI y VGA'],2 
10,Impresora Multifuncional,Epson,325.18916,['Impresión a doble cara automática', 'Velocidad de impresión de hasta 20 ppm', 'Conexión Wi-Fi'],3 
24,Escáner de Documentos,Epson,270.98916,['Resolución óptica de 1200 dpi', 'Velocidad de escaneo de hasta 35 ppm', 'Alimentador automático de documentos de 50 páginas'],3 
15,Tarjeta de Sonido Externa,Focusrite,162.58916000000002,['2 entradas XLR', '2 salidas de línea', 'Resolución de hasta 24-bit/192kHz'],4 
37,Impresora Multifunción HP OfficeJet Pro,HP,249.30916000000002,['Impresión'],1 
21,Teclado y Ratón Inalámbricos,HP,43.349160000000005,['Conexión inalámbrica 2.4GHz', 'Teclado de tamaño completo', 'Ratón óptico de tres botones'],1 
9,Auriculares con Micrófono,HyperX,97.54916,['Sonido envolvente 7.1', 'Micrófono desmontable', 'Diadema ajustable'],5 
14,Procesador Intel Core i7,Intel,433.58916000000005,['8 núcleos', 'Frecuencia de 2.8 GHz', 'Tecnología Hyper-Threading'],1 
31,Tarjeta de Red Ethernet,Intel,43.349160000000005,['Velocidad de transferencia de hasta 1Gbps', 'Conexión PCIe', 'Compatible con Windows y Linux'],5 
33,Altavoz Bluetooth JBL Flip 5,JBL,130.06916,['Conexión Bluetooth', 'Autonomía de hasta 12 horas', 'Resistente al agua y al polvo'],8 
43,Smart TV LG OLED,LG,1625.98916,['Resolución 4K', 'Tamaño de 55 pulgadas', 'Sistema operativo webOS'],7 
46,Altavoces para PC Logitech Z623,Logitech,130.06916,['Potencia total de 200W RMS', 'Subwoofer con control de graves', 'Entrada RCA y auxiliar de 3.5mm'],4 
47,Mouse Inalámbrico Logitech MX Master 3,Logitech,108.38916,['Conexión inalámbrica Bluetooth o receptor USB', 'Rueda de desplazamiento electromagnética', 'Botones personalizables'],8 
41,Webcam Logitech C920,Logitech,86.70916,['Resolución Full HD', 'Micrófonos estéreo integrados', 'Enfoque automático'],4 
11,Altavoces de PC,Logitech,54.18916000000001,['2.1 canales', 'Potencia de salida de 40W', 'Control de graves y agudos'],7 
8,Ratón Inalámbrico,Logitech,43.349160000000005,['Conexión inalámbrica 2.4GHz', 'Diseño ambidiestro', 'Sensor óptico de alta precisión'],9 
5,Tarjeta de Video,MSI,325.18916,['NVIDIA GeForce RTX 3060', '12GB GDDR6', 'DirectX 12 Ultimate'],3 
12,Cámara Web,Microsoft,86.70916,['Resolución Full HD', 'Micrófono incorporado', 'Conexión USB'],7 
32,Router VPN,NETGEAR,195.10916000000003,['Velocidad de hasta 300Mbps', 'Soporta hasta 20 conexiones VPN', 'Firewall integrado'],3 
44,Repetidor Wi-Fi NETGEAR Nighthawk,NETGEAR,140.90916,['Velocidad de hasta 1900Mbps', 'Tecnología Beamforming para mayor alcance', 'Puerto Ethernet Gigabit'],4 
45,Tarjeta Gráfica NVIDIA GeForce RTX 3070,NVIDIA,758.78916,['8GB de memoria GDDR6', 'Arquitectura Ampere de segunda generación', 'Soporte de trazado de rayos en tiempo real'],2 
7,Teclado Mecánico,Razer,140.90916,['Teclas retroiluminadas', 'Diseño ergonómico', 'Conexión USB'],9 
38,Smartphone Samsung Galaxy S21,Samsung,867.18916,['Pantalla Dynamic AMOLED de 6.2 pulgadas', 'Procesador Exynos 2100', 'Cámara trasera de 64MP'],1 
16,Smartphone Samsung Galaxy S21,Samsung,867.18916,['Pantalla AMOLED de 6.2 pulgadas', 'Procesador Exynos 2100', 'Cámara trasera de 64 MP'],2 
25,Monitor Curvo Samsung,Samsung,303.50916,['Resolución Full HD', 'Tamaño de 27 pulgadas', 'Frecuencia de actualización de 75Hz'],7 
48,Unidad SSD Interna Samsung 970 EVO Plus,Samsung,216.78916000000004,['Capacidad de 1TB', 'Velocidad'],2 
3,SSD Interno,Samsung,108.38916,['500GB', 'NVMe PCIe Gen 4.0', 'Velocidad de lectura de hasta 7000MB/s'],2 
30,Disco Duro Externo SSD,SanDisk,216.78916000000004,['Capacidad de 1TB', 'Velocidad de transferencia de hasta 1050MB/s', 'Resistente al agua y al polvo'],9 
13,Disco Duro Portátil,Seagate,140.90916,['4TB', 'USB 3.0', 'Resistente a golpes y vibraciones'],9 
42,Disco Duro Externo Seagate Backup Plus,Seagate,108.38916,['Capacidad de 2TB', 'Conexión USB 3.0', 'Compatible con Windows y Mac'],1 
39,Auriculares con Cancelación de Ruido Sony WH-1000XM4,Sony,379.38916000000006,['Cancelación de ruido líder en la industria', 'Autonomía de hasta 30 horas', 'Control táctil'],3 
18,Router Inalámbrico,TP-Link,86.70916,['Soporta Wi-Fi 6', 'Velocidad de hasta 3000 Mbps', 'Puertos'],7 
35,Cámara de Seguridad WiFi,TP-Link,59.60916,['Resolución Full HD', 'Visión nocturna hasta 30 pies', 'Notificaciones de detección de movimiento'],6 
29,Adaptador Wi-Fi USB,TP-Link,21.66916,['Velocidad de hasta 150Mbps', 'Conexión Plug and Play', 'Compatible con Windows y Mac'],1 
2,Disco Duro Externo,Toshiba,130.06916,['2TB', 'USB 3.0', 'Resistente a golpes'],6 
23,Hub USB 3.0 de 4 puertos,UGREEN,14.08116,['Velocidad de transferencia de hasta 5Gbps', 'Compatible con dispositivos USB 2.0 y 1.1', 'Conexión Plug and Play'],7 
1,Disco Duro Interno,Western Digital,86.70916,['1TB', '7200RPM'],8 
2,Celular,AMD,50000.0,['Celular wifi', 'bluteho'],5 
